	model	mparms	trsamples	bsize	lr	gamma	maxepochs	avgtestloss
328	Linear1_RELU	()	6000	10	0.5	0.7	100	2.936905428731597e-15
329	Linear1_RELU	()	6000	10	0.5	0.7	250	2.936905428731597e-15
330	Linear1_RELU	()	6000	10	1.0	0.3	10	1.2012118332148055e-20
331	Linear1_RELU	()	6000	10	1.0	0.3	100	1.2012118332148055e-20
332	Linear1_RELU	()	6000	10	1.0	0.3	250	1.2012118332148055e-20
333	Linear1_RELU	()	6000	10	1.0	0.7	10	1.4749622938555548e-22
334	Linear1_RELU	()	6000	10	1.0	0.7	100	1.4161993831397876e-22
335	Linear1_RELU	()	6000	10	1.0	0.7	250	1.4161993831397876e-22
336	Linear1_RELU	()	6000	20	0.5	0.3	10	1.411368648362478e-22
337	Linear1_RELU	()	6000	20	0.5	0.3	100	1.411368648362478e-22
338	Linear1_RELU	()	6000	20	0.5	0.3	250	1.411368648362478e-22
339	Linear1_RELU	()	6000	20	0.5	0.7	10	1.5834883902225118e-22
340	Linear1_RELU	()	6000	20	0.5	0.7	100	1.0357624758143991e-22
